Record ID,who Name,who Content,Whop Community Name
cf753523-03a0-45fc-9b55-e464a9a903ac,Beginner Traders,"New to trading? Learn through beginner-friendly zooms, webinars, and courses.",Crystal Academy Membership
cf753523-03a0-45fc-9b55-e464a9a903ac,Experienced Traders,"Already trading? Hone your skills with live trading, analysis, and strategy coaching.",Crystal Academy Membership
cf753523-03a0-45fc-9b55-e464a9a903ac,Trading Enthusiasts,Passionate about trading? Join a community that shares your enthusiasm and goals.,Crystal Academy Membership
cf753523-03a0-45fc-9b55-e464a9a903ac,Futures Traders,"Interested in futures? Gain access to live trading, prop firm info, and dedicated resources.",Crystal Academy Membership
c45c6c60-54da-459c-861e-a3061953bc21,Aspiring Traders,Looking to learn the ropes of trading with real-time guidance and no reliance on algorithms.,RakeTrades Premium
c45c6c60-54da-459c-861e-a3061953bc21,Experienced Traders,Aiming to refine their skills and strategies by focusing on price action and market analysis.,RakeTrades Premium
c45c6c60-54da-459c-861e-a3061953bc21,Financial Enthusiasts,Interested in understanding market dynamics and trading psychology to enhance their investment knowledge.,RakeTrades Premium
c45c6c60-54da-459c-861e-a3061953bc21,Self-Directed Investors,Seeking to take control of their trading journey with expert guidance and community support.,RakeTrades Premium
f279ca1c-ccbf-40c4-8c71-82b9dd7d6fc6,Crypto Enthusiast,Seeking early insights into crypto trends and exclusive access to industry leaders to stay ahead of the market.,Lynk's Private
f279ca1c-ccbf-40c4-8c71-82b9dd7d6fc6,Investor,Looking for expert crypto advice and private groups to refine investment strategies and gain access to CTOs.,Lynk's Private
f279ca1c-ccbf-40c4-8c71-82b9dd7d6fc6,Aspiring Trader,"Wants to learn from top crypto professionals, join a high-level community, and gain early access to new opportunities.",Lynk's Private
b77f0595-42ce-49ea-ba43-1d2fe656a65b,Aspiring Traders,Those new to trading who are eager to learn from experts and improve their skills through real-time practice.,NPZ Trading
b77f0595-42ce-49ea-ba43-1d2fe656a65b,Experienced Investors,Traders looking to refine their strategies with advanced educational content and expert-led signals,NPZ Trading
b77f0595-42ce-49ea-ba43-1d2fe656a65b,Community Seekers,Individuals who thrive in a collaborative environment and value real-time feedback and engagement with fellow traders.,NPZ Trading
