Record ID,Get Name,Get content,Whop Community Name
cf753523-03a0-45fc-9b55-e464a9a903ac,Announcements,Engage in community discussions with announcements.,Crystal Academy Membership
cf753523-03a0-45fc-9b55-e464a9a903ac,Claim Diamond Membership,Join our vibrant trading community on Discord.,Crystal Academy Membership
cf753523-03a0-45fc-9b55-e464a9a903ac,Admin Links!,Access exclusive admin affiliate links.,Crystal Academy Membership
cf753523-03a0-45fc-9b55-e464a9a903ac,Free gifts!,Spin the Whop Wheel and win exciting prizes.,Crystal Academy Membership
cf753523-03a0-45fc-9b55-e464a9a903ac,Beginners Series -- Start Here,Learn from a course program designed to help you grow and reach your goals.,Crystal Academy Membership
cf753523-03a0-45fc-9b55-e464a9a903ac,Options 101,Learn from a course program designed to help you grow and reach your goals.,Crystal Academy Membership
c45c6c60-54da-459c-861e-a3061953bc21,Discord Membership,Join RakeTrades Discord for real-time trading discussions.,RakeTrades Premium
c45c6c60-54da-459c-861e-a3061953bc21,Mastermind Course,Jake Ricci's Flagship Mastermind Course,RakeTrades Premium
c45c6c60-54da-459c-861e-a3061953bc21,Mastermind Bonus,Raketrades Mastermind Bonus Lessons,RakeTrades Premium
c45c6c60-54da-459c-861e-a3061953bc21,Recordings Portal,Access 500+ recordings including trade reviews and analysis.,RakeTrades Premium
c45c6c60-54da-459c-861e-a3061953bc21,Start Here,Start your trading journey with essential RakeTrades documents.,RakeTrades Premium
f279ca1c-ccbf-40c4-8c71-82b9dd7d6fc6,Telegram,Join a private Telegram community and engage with likeminded individuals in the group.,Lynk's Private
f279ca1c-ccbf-40c4-8c71-82b9dd7d6fc6,Discord,Get access to our exclusive Discord server and interact with the rest of the community.,Lynk's Private
f279ca1c-ccbf-40c4-8c71-82b9dd7d6fc6,Announcements,Receive my most important announcements,Lynk's Private
f279ca1c-ccbf-40c4-8c71-82b9dd7d6fc6,Bounties,Complete tasks that we post and earn cash for them!,Lynk's Private
f279ca1c-ccbf-40c4-8c71-82b9dd7d6fc6,Chat,Chat in real-time and connect with the other members of our community.,Lynk's Private
b77f0595-42ce-49ea-ba43-1d2fe656a65b,Welcome,Please Watch All The Videos Below.,NPZ Trading
b77f0595-42ce-49ea-ba43-1d2fe656a65b,Schedule,Access expert content that will keep you informed.,NPZ Trading
b77f0595-42ce-49ea-ba43-1d2fe656a65b,Links,Discover and enjoy unique offers and discounts through our exclusive affiliate links.,NPZ Trading
b77f0595-42ce-49ea-ba43-1d2fe656a65b,Zoom Links,Chat in real-time and connect with the other members of our community.,NPZ Trading
b77f0595-42ce-49ea-ba43-1d2fe656a65b,Breakdowns,Share your thoughts and connect with others on topics that matter to you.,NPZ Trading
b77f0595-42ce-49ea-ba43-1d2fe656a65b,Vip Chat,Chat in real-time and connect with the other members of our community.,NPZ Trading
