Record ID,Whop Community,Question,Answer
86b9c66a-b4d2-4337-a174-87cd2b5f10b0,Market Fluidity University,What is your refund policy ?,For subscription services
86b9c66a-b4d2-4337-a174-87cd2b5f10b0,Market Fluidity University,How long will it take me to learn  ?,This course will guide you step-by-step. You can learn on your own time. Typically it takes 3 months to grasp basics.
4590e6af-8dd5-4e74-acf4-a562a8cf0f64,Stock Levels Mentorship,What kind of support can I expect in the trading group?,In the community
4590e6af-8dd5-4e74-acf4-a562a8cf0f64,Stock Levels Mentorship,Contact Email ?,StockLevelsUniversity@gmail.com
4590e6af-8dd5-4e74-acf4-a562a8cf0f64,Stock Levels Mentorship,What is your refund policy?,There are no refunds as knowledge can't returned
4590e6af-8dd5-4e74-acf4-a562a8cf0f64,Stock Levels Mentorship,Privacy Policy,https://whop.com/privacy.pdf
4590e6af-8dd5-4e74-acf4-a562a8cf0f64,Stock Levels Mentorship,Whop Terms Of Services,https://whop.com/tos.pdf
a0a00a85-2032-4741-a633-2a4deb24e8b4,RakeTrades Premium,Is RakeTrades a licensed advisor?,Rake Trades is not registered as an investment advisor or broker/dealer. Content is for educational purposes only.
a0a00a85-2032-4741-a633-2a4deb24e8b4,RakeTrades Premium,How do I get customer support?,In Discord
a0a00a85-2032-4741-a633-2a4deb24e8b4,RakeTrades Premium,What is your cancelation policy?,Cancel via Whop Dashboard before invoice date to avoid charges. Email callan@raketradesllc.com if unable.
a0a00a85-2032-4741-a633-2a4deb24e8b4,RakeTrades Premium,What is your refund policy?,Paid fees are non-refundable. Certain requests considered case-by-case. Email callan@raketradesllc.com for requests.
27aa8658-751d-4812-b211-30a22d17e601,Maxstermind Futures,What kind of support is available for users of the Max Options Trading platform?,We offer dedicated customer support via email
27aa8658-751d-4812-b211-30a22d17e601,Maxstermind Futures,What are your refund and cancelation policies?,We do not offer refunds
27aa8658-751d-4812-b211-30a22d17e601,Maxstermind Futures,What does this server specialize in?,Max Options Trading specializes in selling options. We trade credit spreads
e2a3227a-6c6f-41c6-8a68-b2af68507398,Learn to Trade Community,What trading markets does the course cover?,The course covers Forex
e2a3227a-6c6f-41c6-8a68-b2af68507398,Learn to Trade Community,How can I access the Sunday Setup?,Access the Sunday Setup through our Premium Discord Channel.nn
997b6cda-a12f-419f-b889-7e205d5304e0,School of Gods Members,What is forex?,Forex trading
997b6cda-a12f-419f-b889-7e205d5304e0,School of Gods Members,How can I access the live classes?,Live classes can be joined through our Discord community
04e1fdd2-685f-42bf-bfaa-67805f09db5e,Ploutos' Progeny: Triskellion,What do I get with the purchase?,You’ll get instant access to the indicator
04e1fdd2-685f-42bf-bfaa-67805f09db5e,Ploutos' Progeny: Triskellion,How do I install the indicator?,After purchase
04e1fdd2-685f-42bf-bfaa-67805f09db5e,Ploutos' Progeny: Triskellion,Are the indicators customizable?,Yes
04e1fdd2-685f-42bf-bfaa-67805f09db5e,Ploutos' Progeny: Triskellion,Do you offer refunds?,No refunds due to the digital nature
04e1fdd2-685f-42bf-bfaa-67805f09db5e,Ploutos' Progeny: Triskellion,How many devices can I use the indicator on?,You can use the indicator on any device as long as you're logged into your TradingView account.
1af62856-9bd4-4e11-ac53-32e9e3c82989,GabeTrades,Is this beginner friendly?,No this is not for beginners. Please visit www.trade1348.com instead which is also made by us and is intended for beginners.
1af62856-9bd4-4e11-ac53-32e9e3c82989,GabeTrades,Do i need to be a member of trade 13/48?,Yes
1af62856-9bd4-4e11-ac53-32e9e3c82989,GabeTrades,I trade using a prop firm. Is this for me?,No
a384c6eb-4710-42bb-a5d7-60026dc5db79,The Digest: Trading & Crypto,Is the newsletter beginner-friendly?,Yes
a384c6eb-4710-42bb-a5d7-60026dc5db79,The Digest: Trading & Crypto,What topics are covered in the “Markets,It provides comprehensive coverage of financial markets
a384c6eb-4710-42bb-a5d7-60026dc5db79,The Digest: Trading & Crypto,How can I participate in the community’s job board?,Members have access to a curated job board where they can stay updated with job opportunities posted by the community.
e35869e2-bcdf-4a0a-8470-680596ddecb7,Phantom Trading,What is Phantom Trading?,We are a trading community that offers a unique approach to navigating the forex and futures markets.
e35869e2-bcdf-4a0a-8470-680596ddecb7,Phantom Trading,What is involved in the Phantom Trading strategy?,The Phantom Trading strategy is a combination of market structure
e35869e2-bcdf-4a0a-8470-680596ddecb7,Phantom Trading,Can I trade Phantom in any market?,Yes
e35869e2-bcdf-4a0a-8470-680596ddecb7,Phantom Trading,Do you guarentee my success?,No of course not. We will ensure that we provide all the support and guidance you need; however you need to put in the work.
e35869e2-bcdf-4a0a-8470-680596ddecb7,Phantom Trading,Can I cancel my subscription anytime?,Yes
